method,fmin,fmax,ch_a,ch_b,mean,sd
coh,0.5,4.0,C3,C4,0.52538133,0.28719129
coh,0.5,4.0,C3,F3,0.48250946,0.27626703
coh,0.5,4.0,C3,F4,0.49892485,0.28522955
coh,0.5,4.0,C3,Fp1,0.46453937,0.26309675
coh,0.5,4.0,C3,Fp2,0.52787116,0.28041070
coh,0.5,4.0,C3,O1,0.42270021,0.27301911
coh,0.5,4.0,C3,O2,0.50246885,0.29231553
coh,0.5,4.0,C3,P3,0.51165178,0.28738156
coh,0.5,4.0,C3,P4,0.51088266,0.31296707
coh,0.5,4.0,C4,F3,0.43622456,0.25550554
coh,0.5,4.0,C4,F4,0.51383217,0.26847612
coh,0.5,4.0,C4,Fp1,0.52153921,0.31212996
coh,0.5,4.0,C4,Fp2,0.48289605,0.29198465
coh,0.5,4.0,C4,O1,0.53092284,0.30033281
coh,0.5,4.0,C4,O2,0.53370666,0.29530211
coh,0.5,4.0,C4,P3,0.51690110,0.29740733
coh,0.5,4.0,C4,P4,0.54866044,0.25890686
coh,0.5,4.0,F3,F4,0.46417454,0.29126837
coh,0.5,4.0,F3,Fp1,0.53108316,0.29443668
coh,0.5,4.0,F3,Fp2,0.47367917,0.27873075
coh,0.5,4.0,F3,O1,0.49892877,0.30383417
coh,0.5,4.0,F3,O2,0.55777785,0.30056801
coh,0.5,4.0,F3,P3,0.51282718,0.28447315
coh,0.5,4.0,F3,P4,0.52795681,0.26641737
coh,0.5,4.0,F4,Fp1,0.52887080,0.29535622
coh,0.5,4.0,F4,Fp2,0.53253929,0.27460668
coh,0.5,4.0,F4,O1,0.49083229,0.27858490
coh,0.5,4.0,F4,O2,0.46508488,0.28638634
coh,0.5,4.0,F4,P3,0.47435903,0.29138615
coh,0.5,4.0,F4,P4,0.55354002,0.29503555
coh,0.5,4.0,Fp1,Fp2,0.50491314,0.28109300
coh,0.5,4.0,Fp1,O1,0.53831413,0.30042900
coh,0.5,4.0,Fp1,O2,0.50204013,0.26742110
coh,0.5,4.0,Fp1,P3,0.50492023,0.31385373
coh,0.5,4.0,Fp1,P4,0.46900135,0.32301384
coh,0.5,4.0,Fp2,O1,0.49193142,0.30387033
coh,0.5,4.0,Fp2,O2,0.47807768,0.28101241
coh,0.5,4.0,Fp2,P3,0.50498113,0.28266791
coh,0.5,4.0,Fp2,P4,0.45314198,0.28559425
coh,0.5,4.0,O1,O2,0.47447132,0.29406220
coh,0.5,4.0,O1,P3,0.46629962,0.28523648
coh,0.5,4.0,O1,P4,0.49474906,0.29577940
coh,0.5,4.0,O2,P3,0.49563564,0.27491432
coh,0.5,4.0,O2,P4,0.53935573,0.29492153
coh,0.5,4.0,P3,P4,0.48603938,0.27056857
coh,4.0,8.0,C3,C4,0.49846066,0.25766454
coh,4.0,8.0,C3,F3,0.49204873,0.27734254
coh,4.0,8.0,C3,F4,0.55369165,0.28718822
coh,4.0,8.0,C3,Fp1,0.47726851,0.27105559
coh,4.0,8.0,C3,Fp2,0.46631362,0.30799917
coh,4.0,8.0,C3,O1,0.47698365,0.27702897
coh,4.0,8.0,C3,O2,0.56140840,0.29618292
coh,4.0,8.0,C3,P3,0.45393704,0.29939546
coh,4.0,8.0,C3,P4,0.46949435,0.27795122
coh,4.0,8.0,C4,F3,0.44807634,0.28168786
coh,4.0,8.0,C4,F4,0.47380990,0.31122095
coh,4.0,8.0,C4,Fp1,0.53097009,0.30574829
coh,4.0,8.0,C4,Fp2,0.49310500,0.29400050
coh,4.0,8.0,C4,O1,0.47638871,0.27858272
coh,4.0,8.0,C4,O2,0.56148110,0.29125434
coh,4.0,8.0,C4,P3,0.49380313,0.30595907
coh,4.0,8.0,C4,P4,0.47341516,0.26552123
coh,4.0,8.0,F3,F4,0.42394515,0.30354483
coh,4.0,8.0,F3,Fp1,0.48309742,0.31334876
coh,4.0,8.0,F3,Fp2,0.48316290,0.32643046
coh,4.0,8.0,F3,O1,0.48429453,0.28213829
coh,4.0,8.0,F3,O2,0.45379643,0.29163949
coh,4.0,8.0,F3,P3,0.50305231,0.28626921
coh,4.0,8.0,F3,P4,0.52952954,0.30222026
coh,4.0,8.0,F4,Fp1,0.51646340,0.29788321
coh,4.0,8.0,F4,Fp2,0.47908879,0.26199808
coh,4.0,8.0,F4,O1,0.56140096,0.31096309
coh,4.0,8.0,F4,O2,0.45449179,0.27761928
coh,4.0,8.0,F4,P3,0.50816755,0.29725706
coh,4.0,8.0,F4,P4,0.55129978,0.26022617
coh,4.0,8.0,Fp1,Fp2,0.46366176,0.30252444
coh,4.0,8.0,Fp1,O1,0.47118108,0.30224239
coh,4.0,8.0,Fp1,O2,0.48773953,0.27081283
coh,4.0,8.0,Fp1,P3,0.45325110,0.31001187
coh,4.0,8.0,Fp1,P4,0.47037750,0.28417232
coh,4.0,8.0,Fp2,O1,0.52148764,0.28678592
coh,4.0,8.0,Fp2,O2,0.51935967,0.27277940
coh,4.0,8.0,Fp2,P3,0.52791987,0.27332048
coh,4.0,8.0,Fp2,P4,0.50308355,0.29925082
coh,4.0,8.0,O1,O2,0.50243140,0.28474577
coh,4.0,8.0,O1,P3,0.53505742,0.31321318
coh,4.0,8.0,O1,P4,0.49441286,0.29969458
